"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","DSND","DSNW","DT32","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN","WSF5"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1998-01","3.7","0.0",,"0","13","0","-10.0",,"13.0","64.8","18.3","1422.4","132.1","13","4.4","7.7","1.2","17.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1998-02","3.9","0.0",,"0","9","0","-8.3",,"0.0","32.3","14.4","1801.5","147.6","0","4.8","7.9","1.7","23.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1998-03","3.7","18.9",,"1","9","0","-7.2",,"127.0","46.2","30.0","2158.2","129.2","127","7.4","11.2","3.7","20.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1998-04","3.0","18.9",,"0","0","0","2.2",,"0.0","47.2","22.8","2342.2","179.2","0","12.2","16.9","7.6","22.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1998-05","3.0","66.1","0","0","0","0","6.7","0","0.0","49.3","30.6","2401.0","176.4","0","18.0","22.4","13.5","16.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1998-06","2.8","152.5",,"0","0","2","11.1",,"0.0","39.9","33.3","2418.2","150.9","0","20.6","24.3","17.0","14.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1998-07","2.5","349.6","0","0","0","3","16.7","0","0.0","8.4","33.9","0.0","27.8","0","24.7","28.8","20.6","14.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1998-08","2.5","550.2","0","0","0","2","14.4","0","0.0","60.5","32.8","0.0","70.7","0","24.8","29.1","20.5","16.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1998-09","2.6","649.0","0","0","0","1","9.4","0","0.0","52.6","32.2","11.7","87.4","0","21.2","25.6","16.9","17.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1998-10","2.8","649.3","0","0","0","0","5.6","0","0.0","24.6","23.3","140.6","70.0","0","14.2","17.7","10.7","14.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1998-11","3.0","649.3",,"0","0","0","2.2",,"0.0","24.6","17.2","422.4","37.5","0","8.9","12.4","5.5","14.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1998-12","3.2","650.1",,"1","8","0","-8.3",,"51.0","18.0","23.9","799.6","28.6","51","6.2","9.4","3.0","17.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1999-01","3.6","0.0",,"2","20","0","-12.8",,"64.0","61.5","15.6","1335.1","178.4","115","1.1","4.9","-2.8","19.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1999-02","3.4","0.0",,"1","13","0","-10.0",,"38.0","29.2","16.7","1742.3","88.7","43","3.8","7.4","0.2","16.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1999-03","4.2","0.0",,"1","11","0","-8.3",,"102.0","18.3","23.3","2129.5","102.0","115","5.8","10.4","1.3","17.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1999-04","3.3","1.7",,"0","0","0","1.7",,"0.0","9.7","26.7","2322.8","49.2","0","11.9","16.9","7.0","19.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1999-05","2.7","26.5","0","0","0","0","7.8","0","0.0","38.9","31.7","2381.3","102.6","0","17.2","21.7","12.8","17.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1999-06","2.8","165.1",,"0","0","6","13.9",,"0.0","4.8","34.4","2383.8","15.0","0","22.9","27.4","18.4","11.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1999-07","2.5","446.8","0","0","0","18","16.1","0","0.0","6.1","38.3","0.0","11.2","0","27.4","32.3","22.6","13.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1999-08","2.8","629.8","0","0","0","3","15.0","0","0.0","38.9","36.7","1.9","73.5","0","24.2","28.6","19.8","14.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1999-09","2.9","710.0","0","0","0","0","10.0","0","0.0","127.5","28.3","15.0","223.7","0","20.6","24.3","16.8","18.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1999-10","2.7","711.7","0","0","0","0","3.9","0","0.0","18.5","23.9","171.1","69.4","0","13.4","17.4","9.3","17.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1999-11","3.3","711.7",,"0","1","0","-2.2",,"0.0","28.7","22.2","408.4","59.2","0","10.4","14.0","6.8","17.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1999-12","3.5","711.7",,"0","10","0","-7.2",,"0.0","25.7","17.2","840.4","82.1","0","4.4","7.6","1.2","20.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2000-01","4.1","0.0","3","3","22","0","-16.1","127","140.0","21.3","17.8","1421.3","81.9","242","-0.4","3.3","-4.1","20.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2000-02","3.7","0.0",,"2","18","0","-7.2",,"76.0","14.5","17.8","1867.9","42.1","132","2.9","6.5","-0.6","17.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2000-03","3.8","0.0","0","0","4","0","-5.6","0","10.0","28.2","21.7","2174.5","84.9","10","8.4","12.8","4.1","18.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2000-04","3.7","0.0","1","1","1","0","-1.1","25","30.0","41.1","23.9","2407.9","89.7","30","10.6","14.5","6.6","21.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2000-05","2.8","43.7","0","0","0","3","7.8","0","0.0","27.2","33.9","2477.0","114.4","0","17.5","22.0","13.0","16.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2000-06","2.7","166.2","0","0","0","3","9.4","0","0.0","66.5","33.3","2494.7","123.8","0","21.8","26.0","17.6","17.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2000-07",,"292.1","0","0","0","0","14.4","0","0.0","82.3","31.7","0.0","185.0","0","22.4","26.1","18.7","11.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2000-08","2.5","420.0","0","0","0","1","13.9","0","0.0","17.8","32.2","0.0","97.0","0","22.5","25.9","19.1","14.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2000-09","2.6","482.4","0","0","0","0","6.1","0","0.0","48.3","28.9","46.5","147.8","0","18.9","22.7","15.0","16.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2000-10","2.6","489.1","0","0","0","0","2.2","0","0.0","11.4","26.1","191.7","17.1","0","13.9","18.0","9.7","14.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2000-11","3.1","489.1","0","0","6","0","-5.0","0","0.0","37.6","19.4","520.7","89.9","0","7.4","10.5","4.2","14.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2000-12","3.6","489.1","4","1","29","0","-10.0","254","305.0","23.9","16.7","1104.5","81.3","341","-0.5","2.9","-3.9","21.0"
