"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","DP10","DT32","DX90","EMNT","EMXP","EMXT","HDSD","PRCP","TAVG","TMAX","TMIN"
"SFM00068816","CAPE TOWN INTERNATIONAL, SF","-33.965","18.602","46.0","1998-01",,,,"3",,,"36.5",,,,"27.2",
"SFM00068816","CAPE TOWN INTERNATIONAL, SF","-33.965","18.602","46.0","1998-02",,"1","0","7","10.9","20.3","35.2",,"20.3","23.6","29.9","17.2"
"SFM00068816","CAPE TOWN INTERNATIONAL, SF","-33.965","18.602","46.0","1998-03",,"2",,"0",,"7.1","30.3",,"12.4",,"26.6",
"SFM00068816","CAPE TOWN INTERNATIONAL, SF","-33.965","18.602","46.0","1998-04",,"4",,"2",,"13.2","35.3",,"35.8",,"25.5",
"SFM00068816","CAPE TOWN INTERNATIONAL, SF","-33.965","18.602","46.0","1998-05",,"10",,"0",,"24.1","30.3",,"115.1",,"21.3",
"SFM00068816","CAPE TOWN INTERNATIONAL, SF","-33.965","18.602","46.0","1998-06",,"7",,"0",,"13.7","25.0",,"47.3",,"19.3",
"SFM00068816","CAPE TOWN INTERNATIONAL, SF","-33.965","18.602","46.0","1998-07",,"8",,"0",,"28.2","23.4",,"98.7",,"17.8",
"SFM00068816","CAPE TOWN INTERNATIONAL, SF","-33.965","18.602","46.0","1998-08",,"7",,"0",,"11.7","31.2",,"42.0",,"21.0",
"SFM00068816","CAPE TOWN INTERNATIONAL, SF","-33.965","18.602","46.0","1998-09",,"3",,"0",,"9.1","27.9",,"28.0",,"20.5",
"SFM00068816","CAPE TOWN INTERNATIONAL, SF","-33.965","18.602","46.0","1998-10",,"1",,"0",,"7.1","31.3",,"13.7",,"23.6",
"SFM00068816","CAPE TOWN INTERNATIONAL, SF","-33.965","18.602","46.0","1998-11",,"3",,"2",,"30.7","33.4",,"43.5",,"24.4",
"SFM00068816","CAPE TOWN INTERNATIONAL, SF","-33.965","18.602","46.0","1998-12",,,,"2",,,"33.0",,,,"27.3",
"SFM00068816","CAPE TOWN INTERNATIONAL, SF","-33.965","18.602","46.0","1999-01",,,,"3",,,"33.1",,,,"28.5",
"SFM00068816","CAPE TOWN INTERNATIONAL, SF","-33.965","18.602","46.0","1999-02",,,,"4",,,"32.8",,,,"29.2",
"SFM00068816","CAPE TOWN INTERNATIONAL, SF","-33.965","18.602","46.0","1999-03",,,,"7",,,"37.3",,,,"29.3",
"SFM00068816","CAPE TOWN INTERNATIONAL, SF","-33.965","18.602","46.0","1999-04",,,,"1",,,"37.0",,,,"25.6",
"SFM00068816","CAPE TOWN INTERNATIONAL, SF","-33.965","18.602","46.0","1999-05",,,,"0",,,"28.7",,,,"22.2",
"SFM00068816","CAPE TOWN INTERNATIONAL, SF","-33.965","18.602","46.0","1999-06",,,,"0",,,"30.5",,,,"22.0",
"SFM00068816","CAPE TOWN INTERNATIONAL, SF","-33.965","18.602","46.0","1999-07",,,,"0",,,"27.4",,,,"19.2",
"SFM00068816","CAPE TOWN INTERNATIONAL, SF","-33.965","18.602","46.0","1999-08",,,,"0",,,"29.5",,,,"21.4",
"SFM00068816","CAPE TOWN INTERNATIONAL, SF","-33.965","18.602","46.0","1999-09",,,,"0",,,"29.1",,,,"19.3",
"SFM00068816","CAPE TOWN INTERNATIONAL, SF","-33.965","18.602","46.0","1999-10",,,,"4",,,"33.4",,,,"25.3",
